observation_id,source_id,native_record_id,entity_name,entity_type,event_type,title,effective_date,portfolio_snapshot_date,location,stage,amount_band,description,record_url,source_value,source_value_type,portfolio_record_sha256
OBS-MACRO-01-9feec64b76e1,SRC-MACRO-01,AU:NY.GDP.MKTP.CD:2020,Australia,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,Australia,historical_observation,not_applicable,Official indicator observation for Australia; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/AU/indicator/NY.GDP.MKTP.CD?date=2020&format=json,1333336461648.09,NY.GDP.MKTP.CD,73d264b135de350e0df8592e4bdf2eccdf224c1e5724b02e696e022fc32b6865
OBS-MACRO-01-682b42c73650,SRC-MACRO-01,BR:NY.GDP.MKTP.CD:2020,Brazil,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,Brazil,historical_observation,not_applicable,Official indicator observation for Brazil; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.MKTP.CD?date=2020&format=json,1476107292151.95,NY.GDP.MKTP.CD,1d69bda6df18d778b250a82eae0ce4bb6a53a62cb61a803a4589086b47546559
OBS-MACRO-01-c6b0fe0e9bf0,SRC-MACRO-01,CA:NY.GDP.MKTP.CD:2020,Canada,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,Canada,historical_observation,not_applicable,Official indicator observation for Canada; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/CA/indicator/NY.GDP.MKTP.CD?date=2020&format=json,1655684730000.19,NY.GDP.MKTP.CD,3c9561a2728ecd283ca3efcef4012e555da7fe0e859f039712d7d3aca4ba583d
OBS-MACRO-01-a985715906cb,SRC-MACRO-01,CN:NY.GDP.MKTP.CD:2020,China,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,China,historical_observation,not_applicable,Official indicator observation for China; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/CN/indicator/NY.GDP.MKTP.CD?date=2020&format=json,14996414166715.1,NY.GDP.MKTP.CD,a506a8feac127c29d2ef19475f0ddf01984275b1ad45710ef85d11aa7e6ce255
OBS-MACRO-01-5af88ae238a8,SRC-MACRO-01,DE:NY.GDP.MKTP.CD:2020,Germany,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,Germany,historical_observation,not_applicable,Official indicator observation for Germany; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/DE/indicator/NY.GDP.MKTP.CD?date=2020&format=json,3941398957073.94,NY.GDP.MKTP.CD,bd61c80c626f9153e797640233d0cf9c0e49d5b0baa285195759db36dd700534
OBS-MACRO-01-dfb6061250e4,SRC-MACRO-01,GB:NY.GDP.MKTP.CD:2020,United Kingdom,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,United Kingdom,historical_observation,not_applicable,Official indicator observation for United Kingdom; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/GB/indicator/NY.GDP.MKTP.CD?date=2020&format=json,2724001478304.59,NY.GDP.MKTP.CD,c2858a8282d8d2cb02f4bc2ecb5ca7ceb18ba1acfb029d9da826b55621df8eff
OBS-MACRO-01-6e2fbff2446a,SRC-MACRO-01,IN:NY.GDP.MKTP.CD:2020,India,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,India,historical_observation,not_applicable,Official indicator observation for India; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/IN/indicator/NY.GDP.MKTP.CD?date=2020&format=json,2674851578587.27,NY.GDP.MKTP.CD,58c030d825c61af612b49c5e373cc5f2c6ec222dce7bfbf4f3aa9463ed8af1b5
OBS-MACRO-01-6be51b99b54f,SRC-MACRO-01,JP:NY.GDP.MKTP.CD:2020,Japan,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,Japan,historical_observation,not_applicable,Official indicator observation for Japan; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/JP/indicator/NY.GDP.MKTP.CD?date=2020&format=json,5054068005376.28,NY.GDP.MKTP.CD,fa4b76b8e2150315eef3878316a3c97e9482f50d8751469b8d88616bd432eeae
OBS-MACRO-01-3d3ffad177e2,SRC-MACRO-01,KR:NY.GDP.MKTP.CD:2020,"Korea, Rep.",country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,"Korea, Rep.",historical_observation,not_applicable,"Official indicator observation for Korea, Rep.; indicator code NY.GDP.MKTP.CD.",https://api.worldbank.org/v2/country/KR/indicator/NY.GDP.MKTP.CD?date=2020&format=json,1744070276373.34,NY.GDP.MKTP.CD,26ef95b703bcf563924e6ddba17cc9b51cacac355274b6cd4082277d3cd7197b
OBS-MACRO-01-4d1c135bfd82,SRC-MACRO-01,MX:NY.GDP.MKTP.CD:2020,Mexico,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,Mexico,historical_observation,not_applicable,Official indicator observation for Mexico; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/MX/indicator/NY.GDP.MKTP.CD?date=2020&format=json,1121064767308.42,NY.GDP.MKTP.CD,ca8a1bc898cf53bce4a13abf4ff46bbe6fc2b95c2f39d306698bd9ccd98da4d1
OBS-MACRO-01-4ff36f4b95f9,SRC-MACRO-01,US:NY.GDP.MKTP.CD:2020,United States,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,United States,historical_observation,not_applicable,Official indicator observation for United States; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/US/indicator/NY.GDP.MKTP.CD?date=2020&format=json,21060473613000,NY.GDP.MKTP.CD,283963fe2963480a7c94985577e49421e26d8f85d3f4c990477f2008a7242e2e
