observation_id,action,reason
OBS-MACRO-01-9feec64b76e1,retained,first_valid_observation_for_source_key
OBS-MACRO-01-682b42c73650,retained,first_valid_observation_for_source_key
OBS-MACRO-01-c6b0fe0e9bf0,retained,first_valid_observation_for_source_key
OBS-MACRO-01-a985715906cb,retained,first_valid_observation_for_source_key
OBS-MACRO-01-5af88ae238a8,retained,first_valid_observation_for_source_key
OBS-MACRO-01-dfb6061250e4,retained,first_valid_observation_for_source_key
OBS-MACRO-01-6e2fbff2446a,retained,first_valid_observation_for_source_key
OBS-MACRO-01-6be51b99b54f,retained,first_valid_observation_for_source_key
OBS-MACRO-01-3d3ffad177e2,retained,first_valid_observation_for_source_key
OBS-MACRO-01-4d1c135bfd82,retained,first_valid_observation_for_source_key
OBS-MACRO-01-4ff36f4b95f9,retained,first_valid_observation_for_source_key
OBS-MACRO-01-507fc77e548a,retained,first_valid_observation_for_source_key
OBS-MACRO-01-481653a433fe,retained,first_valid_observation_for_source_key
OBS-MACRO-01-950bb4e05126,retained,first_valid_observation_for_source_key
OBS-MACRO-01-288a364d7f5c,retained,first_valid_observation_for_source_key
OBS-MACRO-01-3276c3c23e61,retained,first_valid_observation_for_source_key
OBS-MACRO-01-723fc6aa7366,retained,first_valid_observation_for_source_key
OBS-MACRO-01-240509972efc,retained,first_valid_observation_for_source_key
OBS-MACRO-01-fa6d0beea343,retained,first_valid_observation_for_source_key
OBS-MACRO-01-a6dbe75959bc,retained,first_valid_observation_for_source_key
OBS-MACRO-01-590efdc15b09,retained,first_valid_observation_for_source_key
OBS-MACRO-01-dc372f448c98,retained,first_valid_observation_for_source_key
OBS-MACRO-01-3837e985a051,retained,first_valid_observation_for_source_key
OBS-MACRO-01-f1bf1ff9c575,retained,first_valid_observation_for_source_key
OBS-SPEND-01-12d49508062d,retained,first_valid_observation_for_source_key
OBS-SPEND-01-24db50568994,retained,first_valid_observation_for_source_key
OBS-SPEND-01-751828a830a0,retained,first_valid_observation_for_source_key
OBS-SPEND-01-a33fe8a9ab0b,retained,first_valid_observation_for_source_key
OBS-CYBER-01-4773f68c5a94,retained,first_valid_observation_for_source_key
OBS-CYBER-01-6290848643e7,retained,first_valid_observation_for_source_key
OBS-CYBER-01-cef359c97e70,retained,first_valid_observation_for_source_key
OBS-CYBER-01-4b377e9359e8,retained,first_valid_observation_for_source_key
OBS-CYBER-01-28903a70b9fc,retained,first_valid_observation_for_source_key
OBS-CYBER-01-9a7047220272,retained,first_valid_observation_for_source_key
OBS-CYBER-01-dbf47d1a83e5,retained,first_valid_observation_for_source_key
OBS-CYBER-01-83d2c7934cc6,retained,first_valid_observation_for_source_key
OBS-CYBER-01-b4b40765916c,retained,first_valid_observation_for_source_key
OBS-CYBER-01-7bc906e28e84,retained,first_valid_observation_for_source_key
OBS-CYBER-01-94a032f9888a,retained,first_valid_observation_for_source_key
OBS-CYBER-01-8dc2f47c058c,retained,first_valid_observation_for_source_key
OBS-CYBER-01-bd7f23ac1e2f,retained,first_valid_observation_for_source_key
OBS-CYBER-01-fedb6d967ec0,retained,first_valid_observation_for_source_key
OBS-CYBER-01-f1e41d52e692,retained,first_valid_observation_for_source_key
OBS-CYBER-01-b093752b0789,retained,first_valid_observation_for_source_key
OBS-CYBER-01-d3588b929016,retained,first_valid_observation_for_source_key
OBS-CYBER-01-aba469e644a9,retained,first_valid_observation_for_source_key
OBS-CYBER-01-77757889b8da,retained,first_valid_observation_for_source_key
OBS-CYBER-01-e3150b1b1dbc,retained,first_valid_observation_for_source_key
OBS-CYBER-01-3f12946f668d,retained,first_valid_observation_for_source_key
OBS-CYBER-01-aaa3f6ccd417,retained,first_valid_observation_for_source_key
OBS-CYBER-01-e1c0201c8123,retained,first_valid_observation_for_source_key
OBS-CYBER-01-40e242125dcd,retained,first_valid_observation_for_source_key
OBS-CYBER-01-28a9e4e1f270,retained,first_valid_observation_for_source_key
OBS-CYBER-01-cb6e7c59114b,retained,first_valid_observation_for_source_key
OBS-CYBER-01-60593da686a9,retained,first_valid_observation_for_source_key
OBS-CYBER-01-be97056ce393,retained,first_valid_observation_for_source_key
OBS-CYBER-01-441ddadcc697,retained,first_valid_observation_for_source_key
OBS-CYBER-01-aa2a5edaffc7,retained,first_valid_observation_for_source_key
OBS-CYBER-01-0d224e60ff6b,retained,first_valid_observation_for_source_key
OBS-CYBER-01-932707c66d0f,retained,first_valid_observation_for_source_key
OBS-CYBER-01-6252717f9eee,retained,first_valid_observation_for_source_key
OBS-CYBER-01-9eb6a52b51bc,retained,first_valid_observation_for_source_key
OBS-CYBER-01-532dec84a08d,retained,first_valid_observation_for_source_key
OBS-CYBER-01-2921ffad297a,retained,first_valid_observation_for_source_key
OBS-CYBER-01-1301696fc577,retained,first_valid_observation_for_source_key
OBS-CYBER-01-99f5c3bedfba,retained,first_valid_observation_for_source_key
OBS-CYBER-01-c82f830b115d,retained,first_valid_observation_for_source_key
OBS-CYBER-01-56cb7682f394,retained,first_valid_observation_for_source_key
OBS-CYBER-01-43f4f6db85d5,retained,first_valid_observation_for_source_key
OBS-CYBER-01-149f6550c061,retained,first_valid_observation_for_source_key
OBS-CYBER-01-77757889b8da-repeat-02,removed_repeat_capture,same_source_and_native_record_id
