event_id,entity_key,entity_name,entity_type,event_type,title,effective_date,portfolio_snapshot_date,location,stage,amount_band,source_value,source_value_type,corroboration_count,quality_status,source_ids,source_names,evidence_observation_ids,evidence_hashes,record_urls
EVT-7439bc4b76656b63,agriculture-texas-department-of,"AGRICULTURE, TEXAS DEPARTMENT OF",organization,public_award.completed,Award 216TX332N1199 completed,2021-09-30,2026-08-29,United States,completed,1b_plus,2321660718.06,award_amount_usd,1,single_source,SRC-SPEND-01,USAspending completed awards,OBS-SPEND-01-751828a830a0,bc1c1bfa9706d8915d983539339075ef84b182555941f80f3bfd74b935189a9b,https://www.usaspending.gov/award/ASST_NON_216TX332N1199_012
EVT-c49c55655407e2a7,australia,Australia,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,Australia,historical_observation,not_applicable,1333336461648.09,NY.GDP.MKTP.CD,1,single_source,SRC-MACRO-01,World Bank historical indicators,OBS-MACRO-01-9feec64b76e1,73d264b135de350e0df8592e4bdf2eccdf224c1e5724b02e696e022fc32b6865,https://api.worldbank.org/v2/country/AU/indicator/NY.GDP.MKTP.CD?date=2020&format=json
EVT-5aea970fb1a16470,australia,Australia,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,Australia,historical_observation,not_applicable,1560617493202.69,NY.GDP.MKTP.CD,1,single_source,SRC-MACRO-01,World Bank historical indicators,OBS-MACRO-01-481653a433fe,a6b12dadd781087617a17a2f9f196a51d47e664febe11da5e91e1982bd5af677,https://api.worldbank.org/v2/country/AU/indicator/NY.GDP.MKTP.CD?date=2021&format=json
EVT-d022437677479de5,booz-allen-hamilton-inc,BOOZ ALLEN HAMILTON INC,organization,public_award.completed,Award IND15PD01062 completed,2021-05-26,2026-08-29,United States,completed,100m_to_1b,244961186.29,award_amount_usd,1,single_source,SRC-SPEND-01,USAspending completed awards,OBS-SPEND-01-24db50568994,137a7275d8a7339c8691b14847753c933a7ab3b6a07c7d47e9873ffb420e71fb,https://www.usaspending.gov/award/CONT_AWD_IND15PD01062_1406_HHSN316201200008W_7529
EVT-b845711a8105813e,brazil,Brazil,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,Brazil,historical_observation,not_applicable,1476107292151.95,NY.GDP.MKTP.CD,1,single_source,SRC-MACRO-01,World Bank historical indicators,OBS-MACRO-01-682b42c73650,1d69bda6df18d778b250a82eae0ce4bb6a53a62cb61a803a4589086b47546559,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.MKTP.CD?date=2020&format=json
EVT-d54e3d0419ddfa9e,brazil,Brazil,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,Brazil,historical_observation,not_applicable,1670647464062.96,NY.GDP.MKTP.CD,1,single_source,SRC-MACRO-01,World Bank historical indicators,OBS-MACRO-01-950bb4e05126,5eca97b4ecee6772e48b5c8e1179738aa702b029124a6d1ff6f1f63db5df1084,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.MKTP.CD?date=2021&format=json
EVT-996d7692e745d152,canada,Canada,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,Canada,historical_observation,not_applicable,1655684730000.19,NY.GDP.MKTP.CD,1,single_source,SRC-MACRO-01,World Bank historical indicators,OBS-MACRO-01-c6b0fe0e9bf0,3c9561a2728ecd283ca3efcef4012e555da7fe0e859f039712d7d3aca4ba583d,https://api.worldbank.org/v2/country/CA/indicator/NY.GDP.MKTP.CD?date=2020&format=json
EVT-7aa4bf0300e2b4cb,canada,Canada,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,Canada,historical_observation,not_applicable,2022378748423.23,NY.GDP.MKTP.CD,1,single_source,SRC-MACRO-01,World Bank historical indicators,OBS-MACRO-01-288a364d7f5c,ebd53c9eda5a4e34579971647b4c5c7c68780e1b369050bfb4af2f69ca80c4eb,https://api.worldbank.org/v2/country/CA/indicator/NY.GDP.MKTP.CD?date=2021&format=json
EVT-09770c17f381b066,china,China,country,economic.indicator.observed,GDP (current US$) - 2020,2020-12-31,2026-08-29,China,historical_observation,not_applicable,14996414166715.1,NY.GDP.MKTP.CD,1,single_source,SRC-MACRO-01,World Bank historical indicators,OBS-MACRO-01-a985715906cb,a506a8feac127c29d2ef19475f0ddf01984275b1ad45710ef85d11aa7e6ce255,https://api.worldbank.org/v2/country/CN/indicator/NY.GDP.MKTP.CD?date=2020&format=json
EVT-616bdd1bea3c98c5,china,China,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,China,historical_observation,not_applicable,18201698719564,NY.GDP.MKTP.CD,1,single_source,SRC-MACRO-01,World Bank historical indicators,OBS-MACRO-01-3276c3c23e61,a52d5764a1ddc952442ee11233fa715a77b921548c8b48a47e649e2b8d2a567b,https://api.worldbank.org/v2/country/CN/indicator/NY.GDP.MKTP.CD?date=2021&format=json
EVT-2021f2eaa90eeceb,cve-2005-1794,CVE-2005-1794,vulnerability,cyber.vulnerability.published,CVE-2005-1794 published,2005-06-01,2026-08-29,Global,published,not_applicable,6.4,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-4773f68c5a94,8ea2033f552426a72ed924996beafafc8c3e87f3e0da117dc9626bbf3568916f,https://nvd.nist.gov/vuln/detail/CVE-2005-1794
